original_index,img_link,budget_value,revenue_value,lang
16826,https://media.themoviedb.org/t/p/w300_and_h450_face/2NrP3h3GEsrPXX60bmjKuYWAvl9.jpg,50000000.0,149900000.0,English
16827,https://media.themoviedb.org/t/p/w300_and_h450_face/loPWKCqJZCVQypEQvG5Nd2WH1gE.jpg,,,Finnish
26742,https://media.themoviedb.org/t/p/w300_and_h450_face/tkEC35oeLKSTJbsdlXkJcLLK15O.jpg,,,English
4081,https://media.themoviedb.org/t/p/w300_and_h450_face/oe7nbYwJj4gwk5oL0BiQMw7Eb0a.jpg,350000.0,29090.0,English
16829,https://media.themoviedb.org/t/p/w300_and_h450_face/EWG78UUowHBMOsDXvDtHol07N3.jpg,3000000.0,,Hebrew
4082,https://media.themoviedb.org/t/p/w300_and_h450_face/sxNSAUj0UyIFDccmysWfGOFCv3x.jpg,8000000.0,1900000.0,Japanese
5924,https://media.themoviedb.org/t/p/w300_and_h450_face/9oqyj79xmcypxLajJdefOtrYx64.jpg,120000.0,182857.0,French
26743,https://media.themoviedb.org/t/p/w300_and_h450_face/fpUxrtpdO8MT9GZxlqlAxrFsGXh.jpg,,,English
26745,https://media.themoviedb.org/t/p/w300_and_h450_face/Ahh93XzZWbgX19TQlPohwOvf4ne.jpg,,,Korean
16828,https://media.themoviedb.org/t/p/w300_and_h450_face/7EQQsuK1Hk1zcoBlNBKfU41aS39.jpg,,,English
16831,https://media.themoviedb.org/t/p/w300_and_h450_face/3p8nZAGiw8LT8TFpYOn7uoTUdvI.jpg,10400000.0,20967660.0,Korean
5926,https://media.themoviedb.org/t/p/w300_and_h450_face/7bP66TCKWPTsiER72xgyKUsjg82.jpg,6000000.0,17953778.0,English
26744,https://media.themoviedb.org/t/p/w300_and_h450_face/6bsz5CNrgw84xsx0FTnrDt8Yuub.jpg,,,English
4083,https://media.themoviedb.org/t/p/w300_and_h450_face/5rirt2BbnEDzgWfUzsAew0qHm1N.jpg,,11000000.0,English
16830,https://media.themoviedb.org/t/p/w300_and_h450_face/mMAEIZbA9wEwabqqFmy9SRvseYK.jpg,,,English
5925,https://media.themoviedb.org/t/p/w300_and_h450_face/tWOQOOAvwDA3KbDCSQH3NoBgimc.jpg,,11690.0,English
4084,https://media.themoviedb.org/t/p/w300_and_h450_face/ihgGS9K8pCYdgb9SpanxoKcJ0Al.jpg,,,English
5927,https://media.themoviedb.org/t/p/w300_and_h450_face/1BaHXGZB7UTNWylELBz0DkjIs31.jpg,,,German
26746,https://media.themoviedb.org/t/p/w300_and_h450_face/xejFBC19Nc7Xi1MiIvcf84ZCy2g.jpg,,566006.0,English
4085,https://media.themoviedb.org/t/p/w300_and_h450_face/zaBtclnYKv2JkgRDQ7OiFtWHm4e.jpg,,,Portuguese
5928,https://media.themoviedb.org/t/p/w300_and_h450_face/1sEJy723hW629jzzX8H5k5MTVMq.jpg,,397631.0,English
16832,https://media.themoviedb.org/t/p/w300_and_h450_face/jloyGeVYZSxM9zsLFvVOWuj2ey4.jpg,70000000.0,211800000.0,English
26747,https://media.themoviedb.org/t/p/w300_and_h450_face/imQp5gncyqgwWygmD4lWDmBrBIw.jpg,,,French
4086,https://media.themoviedb.org/t/p/w300_and_h450_face/vcAnrOJgGsXDCas67P4VPLVVBkA.jpg,,2510433.0,English
5929,https://media.themoviedb.org/t/p/w300_and_h450_face/grkQXKuFesD5ZVbVZ3xlMzZqUyV.jpg,2000000.0,1950000.0,English
16833,https://media.themoviedb.org/t/p/w300_and_h450_face/zhsE6gYKJjgRCaV7MF0fCsErHzm.jpg,,,English
16836,https://media.themoviedb.org/t/p/w300_and_h450_face/3cbc323a4VlTHFIU4nGWccwvNHG.jpg,,,English
5930,https://media.themoviedb.org/t/p/w300_and_h450_face/fCHQQ6EmhQshb80VPKzmOzLHke3.jpg,,6758000.0,English
4087,https://media.themoviedb.org/t/p/w300_and_h450_face/aVNP2JdzqKaqvOzBcYvI4s68rKY.jpg,3000000.0,343786.0,English
26749,https://media.themoviedb.org/t/p/w300_and_h450_face/ob1idQ0vpXxrEkUj03qKTom6hPn.jpg,,,Polish
16834,https://media.themoviedb.org/t/p/w300_and_h450_face/oxiKjcVgPrAFaMzOK1NsUhANp4q.jpg,,,English
4088,https://media.themoviedb.org/t/p/w300_and_h450_face/9FueZsXEXNqFlmB2o2WuGQPdkv5.jpg,,,English
26748,https://media.themoviedb.org/t/p/w300_and_h450_face/pbFZWO51YxMvEDR9lufn7tBjS80.jpg,,,Spanish; Castilian
5931,https://media.themoviedb.org/t/p/w300_and_h450_face/41NoayYsUD4LPv586apJxl0iNzf.jpg,,,English
26750,https://media.themoviedb.org/t/p/w300_and_h450_face/62I43mWLre7zZNPit4zzr8Ia8Ry.jpg,,,English
16835,https://media.themoviedb.org/t/p/w300_and_h450_face/3vobL7LPk198YHXjkBnO6GeM7cj.jpg,,,French
4089,https://media.themoviedb.org/t/p/w300_and_h450_face/36Gqgyh1nOguvnIH8RBfhj7EpjH.jpg,75000.0,546541.0,English
16837,https://media.themoviedb.org/t/p/w300_and_h450_face/yHy8TrRLnuBZ4t2C0l0pSpRXVHO.jpg,,18434328.0,Japanese
26751,https://media.themoviedb.org/t/p/w300_and_h450_face/t5fiqFaoqTh4fS86Rgw7ieTBWk3.jpg,,,German
4090,https://media.themoviedb.org/t/p/w300_and_h450_face/2sMpffmvoJlW7WBcvyHTPR9DEsj.jpg,,,English
26753,https://media.themoviedb.org/t/p/w300_and_h450_face/uqcKoM8KlgKeMw0XvKhjp3qwUag.jpg,,,Japanese
5933,https://media.themoviedb.org/t/p/w300_and_h450_face/i6M3sxY2jHVey55qWmgTPomSuvc.jpg,,,English
26752,https://media.themoviedb.org/t/p/w300_and_h450_face/qMy6iMc4aygfw3wuCtCdbRyjG5a.jpg,98.0,,German
4091,https://media.themoviedb.org/t/p/w300_and_h450_face/snU2ElTb6OEQO6vrMx7KnhjTkAG.jpg,,,English
16838,https://media.themoviedb.org/t/p/w300_and_h450_face/tjk2Ig3I5bQvPUEH3A83aZebXEy.jpg,,,English
5934,https://media.themoviedb.org/t/p/w300_and_h450_face/vof40ryhBNTEvtjHl1somhdrXm.jpg,,6166819.0,English
4092,https://media.themoviedb.org/t/p/w300_and_h450_face/tGZc0sRoXgGzRDhHaCRmqxNSKVZ.jpg,,,English
5935,https://media.themoviedb.org/t/p/w300_and_h450_face/6PLfdCgjqD3Gm9UeeaF3e8iTo3M.jpg,2000000.0,2500000.0,English
26754,https://media.themoviedb.org/t/p/w300_and_h450_face/11a3Gt9Q4X93hqfAsSItZ01oDwh.jpg,,,English
16839,https://media.themoviedb.org/t/p/w300_and_h450_face/jzbK2Klids263D81SSraJBP3EKM.jpg,,,French
4093,https://media.themoviedb.org/t/p/w300_and_h450_face/gYoVx2m8NP2hTWnEpwNeROIWrQ4.jpg,247000.0,7000000.0,English
5936,https://media.themoviedb.org/t/p/w300_and_h450_face/y6FTSnCSBVJVPa7M1LuVroLN0ag.jpg,,155895.0,French
16840,https://media.themoviedb.org/t/p/w300_and_h450_face/sGjkwL6GUIR2A55qTX5ConTmZgz.jpg,,,French
26755,https://media.themoviedb.org/t/p/w300_and_h450_face/95RJFUkUzy9iskS8lhCMJpMbHYH.jpg,2500000.0,,Spanish; Castilian
4094,https://media.themoviedb.org/t/p/w300_and_h450_face/auHA8xsD452GDCY2KdHGgYPmDPf.jpg,,,English
5937,https://media.themoviedb.org/t/p/w300_and_h450_face/4kJQ1R7zD1ckFPFfmyxI7kwPSiM.jpg,,8622757.0,English
16841,https://media.themoviedb.org/t/p/w300_and_h450_face/9vEqQpndZuydRbYueABgIMw34gH.jpg,,,English
26756,https://media.themoviedb.org/t/p/w300_and_h450_face/jAmm38CcDdk8lb2GNTDKF6HuysP.jpg,1490000.0,,Finnish
